"MIME Type","File Extension(s)"
"application/media_control+xml",""
"application/mediaservercontrol+xml",".mscml"
"application/merge-patch+json",".merge-patch"
"application/metalink+xml",".metalink"
"application/metalink4+xml",".meta4"
"application/mets+xml",".mets"
"application/MF4",".mf4"
"application/mikey",""
"application/mipc",""
"application/missing-blocks+cbor-seq",""
"application/mmt-aei+xml",".maei"
"application/mmt-usd+xml",".musd"
"application/mods+xml",".mods"
"application/moss-keys",""
"application/moss-signature",""
"application/mosskey-data",""
")application/mosskey-request",""
"application/mp21",".mp21,.m21"
"application/mp4",".mp4,.m4v,.m4a,.f4v,.f4a"
"application/mpeg4-generic",""
"application/mpeg4-iod",""
"application/mpeg4-iod-xmt",""
"application/mrb-consumer+xml",""
"application/mrb-publish+xml",""
"application/msc-ivr+xml",""
"application/msc-mixer+xml",""
"application/msword",".doc,.dot"
"application/mud+json",".mud.json"
"application/multipart-core",""
"application/mxf",".mxf"
"application/n-quads",".nq"
"application/n-triples",".nt"
"application/nasdata",""
"application/news-checkgroups",""
"application/news-groupinfo",""
"application/news-transmission",""
"application/nlsml+xml",".nlsml"
"application/node",""
"application/nss",""
"application/oauth-authz-req+jwt",""
"application/ocsp-request",".ocsp.req"
"application/ocsp-response",".ocsp.resp"
"application/octet-stream",".bin,.dms,.lrf,.mar,.so,.dist,.distz,.pkg,.bpk,.dump,.elc,.deploy"
"application/oda",".oda"
"application/odm+xml",".odm"
"application/odx",".odx"
"application/oebps-package+xml",".opf"
"application/ogg",".ogx"
"application/opc-nodeset+xml",""
"application/oscore",""
"application/oxps",".oxps"
"application/p21",".p21,.p21txt"
"application/p2p-overlay+xml",".relo"
"application/parityfec",""
"application/passport",""
"application/patch-ops-error+xml",".xer"
"application/pdf",".pdf"
"application/pdx",".pdx"
"application/pem-certificate-chain",".pem"
"application/pgp-encrypted",".pgp"
"application/pgp-keys",".asc,.pub,.gpg"
"application/pgp-signature",".asc,.sig"
"application/pidf+xml",""
"application/pidf-diff+xml",""
"application/pkcs10",".p10"
"application/pkcs12",".p12,.pfx"
"application/pkcs7-mime",".p7m,.p7c"
"application/pkcs7-signature",".p7s"
"application/pkcs8",".p8"
"application/pkcs8-encrypted",""
"application/pkix-attr-cert",".ac,.acp"
"application/pkix-cert",".cer,.crt,.der"
"application/pkix-crl",".crl"
"application/pkix-pkipath",".pkipath"
"application/pkixcmp",".pki"
"application/pls+xml",".pls"
"application/poc-settings+xml",""
"application/postscript",".ps,.eps,.ai"
"application/ppsp-tracker+json",""
"application/problem+json",".problem.json"
"application/problem+xml",".problem.xml"
"application/provenance+xml",".provx"
"application/prs.alvestrand.titrax-sheet",""
"application/prs.cww",".cww"
"application/prs.cyn",".cyn"
"application/prs.hpub+zip",".hpub"
"application/prs.nprend",""
"application/prs.plucker",".pdb"
"application/prs.rdf-xml-crypt",""
"application/prs.xsf+xml",""
"application/pskc+xml",".pskc.xml"
"application/qsig",""
"application/raml+yaml",".raml"
"application/raptorfec",""
"application/rdap+json",".rdap.json"
"application/reginfo+xml",".rif"
"application/relax-ng-compact-syntax",".rnc"
"application/remote-printing",""
"application/reputon+json",".reputon.json"
"application/resource-lists+xml",".rl"
"application/resource-lists-diff+xml",".rld"
"application/rfc+xml",".rfc.xml"
"application/riscos",""
"application/rlmi+xml",""
"application/rls-services+xml",".rs"
"application/route-apd+xml",".rapd"
"application/route-s-tsid+xml",".rsts"
"application/route-usd+xml",".rusd"
"application/rpki-ghostbusters",".gbr"
"application/rpki-manifest",".mft"
"application/rpki-publication",""
"application/rpki-roa",".roa"
"application/rpki-updown",""
"application/rsd+xml",".rsd"
"application/rss+xml",".rss"
"application/rtf",".rtf"
"application/rtploopback",""
"application/rtx",""
"application/samlassertion+xml",""
"application/samlmetadata+xml",""
"application/sarif+json",".sarif"
"application/sbe",""
"application/sbml+xml",".sbml"
"application/scaip+xml",""
"application/scim+json",".scim.json"
"application/scvp-cv-request",".scq"
"application/scvp-cv-response",".scs"
"application/scvp-vp-request",".spq"
"application/scvp-vp-response",".spp"
"application/sdp",".sdp"
"application/secevent+jwt",""
"application/senml+cbor",".senml.cbor"
"application/senml+json",".senml.json"
"application/senml+xml",".senml.xml"
"application/senml-exi",""
"application/sensml+cbor",".sensml.cbor"
"application/sensml+json",".sensml.json"
"application/sensml+xml",".sensml.xml"
"application/sensml-exi",""
"application/sep+xml",""
"application/sep-exi",""
"application/session-info",""
"application/set-payment",""
"application/set-payment-initiation",".setpay"
"application/set-registration",""
"application/set-registration-initiation",".setreg"
"application/sgml",".sgml,.sgm"
"application/sgml-open-catalog",""
"application/shf+xml",".shf"
"application/sieve",".siv,.sieve"
"application/simple-filter+xml",""
"application/simple-message-summary",""
"application/simplesymbolcontainer",""
"application/sipc",""
"application/slate",""
"application/smil",".smi,.smil"
"application/smil+xml",".smi,.smil"
"application/smpte336m",""
"application/soap+fastinfoset",""
"application/soap+xml",""
"application/sparql-query",".rq"
"application/sparql-results+xml",".srx"
"application/spirits-event+xml",""
"application/sql",".sql"
"application/srgs",".gram"
"application/srgs+xml",".grxml"
"application/sru+xml",".sru"
"application/ssdl+xml",".ssdl"
"application/ssml+xml",".ssml"
"application/stix+json",".stix.json"
"application/swid+xml",".swid.xml"
"application/tamp-apex-update",""
"application/tamp-apex-update-confirm",""
"application/tamp-community-update",""
"application/tamp-community-update-confirm",""
"application/tamp-error",""
"application/tamp-sequence-adjust",""
"application/tamp-sequence-adjust-confirm",""
"application/tamp-status-query",""
"application/tamp-status-response",""
"application/tamp-update",""
"application/tamp-update-confirm",""
"application/tar",".tar"
"application/taxii+json",".taxii.json"
"application/td+json",".td.json"
"application/tei+xml",".tei,.teicorpus"
"application/thraud+xml",".tfi"
"application/timestamp-query",".tsq"
"application/timestamp-reply",".tsr"
"application/tlsrpt+gzip",""
"application/tlsrpt+json",".tlsrpt.json"
"application/tnauthlist",""
"application/token-introspection+jwt",""
"application/toml",".toml"
"application/trickle-ice-sdpfrag",""
"application/trig",".trig"
"application/ttml+xml",".ttml"
"application/tve-trigger",""
"application/tzif",".tzif"
"application/tzif-leap",".tzif.leap"
"application/ulpfec",""
"application/urc-grpsheet+xml",""
"application/urc-ressheet+xml",".rsheet"
"application/urc-targetdesc+xml",".td"
"application/urc-uisocketdesc+xml",""
"application/vcard+json",".vcard.json"
"application/vcard+xml",".vcf.xml"
"application/vemmi",""
"application/vnd.1000minds.decision-model+xml",".1km"
"application/vnd.3gpp-prose+xml",""
"application/vnd.3gpp-prose-pc3ch+xml",""
"application/vnd.3gpp-v2x-local-service-information",""
"application/vnd.3gpp.5gnas",""
"application/vnd.3gpp.access-transfer-events+xml",""
"application/vnd.3gpp.bsf+xml",""
"application/vnd.3gpp.gmop+xml",""
"application/vnd.3gpp.gtpc",""
"application/vnd.3gpp.interworking-data",""
"application/vnd.3gpp.lpp",""
"application/vnd.3gpp.mc-signalling-ear",""
"application/vnd.3gpp.mcdata-affiliation-command+xml",""
"application/vnd.3gpp.mcdata-info+xml",""
"application/vnd.3gpp.mcdata-payload",""
"application/vnd.3gpp.mcdata-service-config+xml",""
"application/vnd.3gpp.mcdata-signalling",""
"application/vnd.3gpp.mcdata-ue-config+xml",""
"application/vnd.3gpp.mcdata-user-profile+xml",""
"application/vnd.3gpp.mcptt-affiliation-command+xml",""
"application/vnd.3gpp.mcptt-floor-request+xml",""
"application/vnd.3gpp.mcptt-info+xml",""
"application/vnd.3gpp.mcptt-location-info+xml",""
"application/vnd.3gpp.mcptt-mbms-usage-info+xml",""
"application/vnd.3gpp.mcptt-service-config+xml",""
"application/vnd.3gpp.mcptt-signed+xml",""
"application/vnd.3gpp.mcptt-ue-config+xml",""
"application/vnd.3gpp.mcptt-ue-init-config+xml",""
"application/vnd.3gpp.mcptt-user-profile+xml",""
"application/vnd.3gpp.mcvideo-affiliation-command+xml",""
"application/vnd.3gpp.mcvideo-affiliation-info+xml",""
"application/vnd.3gpp.mcvideo-info+xml",""
"application/vnd.3gpp.mcvideo-location-info+xml",""
"application/vnd.3gpp.mcvideo-mbms-usage-info+xml",""
"application/vnd.3gpp.mcvideo-service-config+xml",""
"application/vnd.3gpp.mcvideo-transmission-request+xml",""
"application/vnd.3gpp.mcvideo-ue-config+xml",""
"application/vnd.3gpp.mcvideo-user-profile+xml",""
"application/vnd.3gpp.mid-call+xml",""
"application/vnd.3gpp.ngap",""
"application/vnd.3gpp.pfcp",""
"application/vnd.3gpp.pic-bw-large",".plb"
"application/vnd.3gpp.pic-bw-small",".psb"
"application/vnd.3gpp.pic-bw-var",".pvb"
"application/vnd.3gpp.s1ap",""
"application/vnd.3gpp.sms",""
"application/vnd.3gpp.sms+xml",""
"application/vnd.3gpp.srvcc-ext+xml",""
"application/vnd.3gpp.srvcc-info+xml",""
"application/vnd.3gpp.state-and-event-info+xml",""
"application/vnd.3gpp.ussd+xml",""
"application/vnd.3gpp2.bcmcsinfo+xml",""
"application/vnd.3gpp2.sms",""
"application/vnd.3gpp2.tcap",".tcap"
"application/vnd.3lightssoftware.imagescal",""
"application/vnd.3M.Post-it-Notes",""
"application/vnd.accpac.simply.aso",".aso"
"application/vnd.accpac.simply.imp",".imp"
"application/vnd.acucobol",".acu"
"application/vnd.acucorp",".atc,.acutc"
"application/vnd.adobe.flash.movie",""
"application/vnd.adobe.formscentral.fcdt",".fcdt"
"application/vnd.adobe.fxp",".fxp,.fxpl"
"application/vnd.adobe.partial-upload",""
"application/vnd.adobe.xdp+xml",".xdp"
"application/vnd.adobe.xfdf",".xfdf"
"application/vnd.aether.imp",""
"application/vnd.afpc.afplinedata",""
"application/vnd.afpc.afplinedata-pagedef",""
"application/vnd.afpc.cmoca-cmresource",""
"application/vnd.afpc.foca-charset",""
"application/vnd.afpc.foca-codedfont",""
"application/vnd.afpc.foca-codepage",""
"application/vnd.afpc.modca",""
"application/vnd.afpc.modca-cmtable",""
"application/vnd.afpc.modca-formdef",""
"application/vnd.afpc.modca-mediummap",""
"application/vnd.afpc.modca-objectcontainer",""
"application/vnd.afpc.modca-overlay",""
"application/vnd.afpc.modca-pagesegment",""
"application/vnd.age",".age"
"application/vnd.ah-barcode",""
"application/vnd.ahead.space",".ahead"
"application/vnd.airzip.filesecure.azf",".azf"
"application/vnd.airzip.filesecure.azs",".azs"
"application/vnd.amadeus+json",""
"application/vnd.amazon.ebook",".azw"
"application/vnd.amazon.mobi8-ebook",""
"application/vnd.americandynamics.acc",".acc"
"application/vnd.amiga.ami",".ami"
"application/vnd.amundsen.maze+xml",""
"application/vnd.android.ota",""
"application/vnd.anki",".anki"
"application/vnd.anser-web-certificate-issue-initiation",".cii"
"application/vnd.antix.game-component",".atx"
"application/vnd.apache.arrow.file",".arrows"
"application/vnd.apache.arrow.stream",".arrow"
"application/vnd.apache.thrift.binary",""
"application/vnd.apache.thrift.compact",""
"application/vnd.apache.thrift.json",""
"application/vnd.api+json",".api.json"
"application/vnd.aplextor.warrp+json",""
"application/vnd.apothekende.reservation+json",""
"application/vnd.apple.installer+xml",".mpkg"
"application/vnd.apple.keynote",".key"
"application/vnd.apple.mpegurl",".m3u8"
"application/vnd.apple.numbers",".numbers"
"application/vnd.apple.pages",".pages"
"application/vnd.apple.pkpass",".pkpass"
"application/vnd.arastra.swi",""
"application/vnd.aristanetworks.swi",".swi"
"application/vnd.artisan+json",""
"application/vnd.artsquare",""
"application/vnd.astraea-software.iota",".iota"
"application/vnd.audiograph",".aep"
"application/vnd.autopackage",""
"application/vnd.avalon+json",""
"application/vnd.avistar+xml",""
"application/vnd.balsamiq.bmml+xml",""
"application/vnd.banana-accounting",""
"application/vnd.bbf.usp.error",""
"application/vnd.bbf.usp.msg",""
"application/vnd.bbf.usp.msg+json",""
"application/vnd.bekitzur-stech+json",""
"application/vnd.bint.med-content",""
"application/vnd.biopax.rdf+xml",""
"application/vnd.blink-idb-value-wrapper",""
"application/vnd.blueice.multipass",".mpm"
"application/vnd.bluetooth.ep.oob",""
"application/vnd.bluetooth.le.oob",""
"application/vnd.bmi",".bmi"
"application/vnd.bpf",".bpf"
"application/vnd.bpf3",".bpf3"
"application/vnd.businessobjects",".rep"
"application/vnd.byu.uapi+json",""
"application/vnd.cab-jscript",""
"application/vnd.canon-cpdl",""
"application/vnd.canon-lips",""
"application/vnd.capasystems-pg+json",""
"application/vnd.cendio.thinlinc.clientconf",""
"application/vnd.century-systems.tcp_stream",""
"application/vnd.chemdraw+xml",".cdxml"
"application/vnd.chess-pgn",""
"application/vnd.chipnuts.karaoke-mmd",".mmd"
"application/vnd.ciedi",""
"application/vnd.cinderella",".cdy"
"application/vnd.cirpack.isdn-ext",""
"application/vnd.citationstyles.style+xml",".csl"
"application/vnd.claymore",".cla"
"application/vnd.cloanto.rp9",".rp9"
"application/vnd.clonk.c4group",".c4g,.c4d,.c4f,.c4p,.c4u"
"application/vnd.cluetrust.cartomobile-config",".c11amc"
"application/vnd.cluetrust.cartomobile-config-pkg",".c11amz"
"application/vnd.coffeescript",".coffee"
"application/vnd.collabio.xodocuments.document",""
"application/vnd.collabio.xodocuments.document-template",""
"application/vnd.collabio.xodocuments.presentation",""
"application/vnd.collabio.xodocuments.presentation-template",""
"application/vnd.collabio.xodocuments.spreadsheet",""
"application/vnd.collabio.xodocuments.spreadsheet-template",""
"application/vnd.collection+json",".collection.json"
"application/vnd.collection.doc+json",""
"application/vnd.collection.next+json",""
"application/vnd.comicbook+zip",".cbz"
"application/vnd.comicbook-rar",".cbr"
"application/vnd.commerce-battelle",""
"application/vnd.commonspace",".csp"
"application/vnd.contact.cmsg",".cdbcmsg"
"application/vnd.coreos.ignition+json",".ignition"
"application/vnd.cosmocaller",".cmc"
"application/vnd.crick.clicker",".clkx"
"application/vnd.crick.clicker.keyboard",".clkk"
"application/vnd.crick.clicker.palette",".clkp"
"application/vnd.crick.clicker.template",".clkt"
"application/vnd.crick.clicker.wordbank",".clkw"
"application/vnd.criticaltools.wbs+xml",".wbs"
"application/vnd.cryptii.pipe+json",""
"application/vnd.crypto-shade-file",""
"application/vnd.cryptomator.encrypted",""
"application/vnd.cryptomator.vault",""
"application/vnd.ctc-posml",".pml"
"application/vnd.ctct.ws+xml",""
"application/vnd.cups-pdf",""
"application/vnd.cups-postscript",""
"application/vnd.cups-ppd",".ppd"
"application/vnd.cups-raster",""
"application/vnd.cups-raw",""
"application/vnd.curl",".curl"
"application/vnd.cyan.dean.root+xml",""
"application/vnd.cybank",""
"application/vnd.d2l.coursepackage1p0+zip",""
"application/vnd.dart",".dart"
"application/vnd.data-vision.rdz",".rdz"
"application/vnd.datapackage+json",".datapackage.json"
"application/vnd.dataresource+json",".dataresource.json"
"application/vnd.debian.binary-package",""
"application/vnd.dece.data",".uvf,.uvvf,.uvd,.uvvd"
"application/vnd.dece.ttml+xml",".uvt,.uvvt"
"application/vnd.dece.unspecified",".uvx,.uvvx"
"application/vnd.dece.zip",".uvz,.uvvz"
"application/vnd.denovo.fcselayout-link",".fe_launch"
"application/vnd.desmume.movie",""
"application/vnd.dir-bi.plate-dl-nosuffix",""
"application/vnd.dm.delegation+xml",""
"application/vnd.dna",".dna"
"application/vnd.document+json",""
"application/vnd.dolby.mobile.1",""
"application/vnd.dolby.mobile.2",""
"application/vnd.doremir.scorecloud-binary-document",""
"application/vnd.dpgraph",".dpg"
"application/vnd.dreamfactory",".dfac"
"application/vnd.drive+json",""
"application/vnd.dtg.local",""
"application/vnd.dtg.local.flash",""
"application/vnd.dtg.local.html",""
"application/vnd.dvb.ait",".ait"
"application/vnd.dvb.dvbj",""
"application/vnd.dvb.esgcontainer",""
"application/vnd.dvb.ipdcdftnotifaccess",""
"application/vnd.dvb.ipdcesgaccess",""
"application/vnd.dvb.ipdcesgaccess2",""
"application/vnd.dvb.ipdcesgpdd",""
"application/vnd.dvb.ipdcroaming",""
"application/vnd.dvb.iptv.alfec-base",""
"application/vnd.dvb.iptv.alfec-enhancement",""
"application/vnd.dvb.notif-aggregate-root+xml",""
"application/vnd.dvb.notif-container+xml",""
"application/vnd.dvb.notif-generic+xml",""
"application/vnd.dvb.notif-ia-msglist+xml",""
"application/vnd.dvb.notif-ia-registration-request+xml",""
"application/vnd.dvb.notif-ia-registration-response+xml",""
"application/vnd.dvb.notif-init+xml",""
"application/vnd.dvb.pfr",""
"application/vnd.dvb.service",".svc"
"application/vnd.dxr",""
"application/vnd.dynageo",".geo"
"application/vnd.dzr",""
"application/vnd.easykaraoke.cdgdownload",""
"application/vnd.ecdis-update",""
"application/vnd.ecip.rlp",""
"application/vnd.eclipse.ditto+json",".ditto.json"
"application/vnd.ecowin.chart",".mag"
"application/vnd.ecowin.filerequest",""
"application/vnd.ecowin.fileupdate",""
"application/vnd.ecowin.series",""
"application/vnd.ecowin.seriesrequest",""
"application/vnd.ecowin.seriesupdate",""
"application/vnd.efi.img",""
"application/vnd.efi.iso",""
"application/vnd.emclient.accessrequest+xml",""
"application/vnd.enliven",".nml"
"application/vnd.enphase.envoy",""
"application/vnd.eprints.data+xml",""
"application/vnd.epson.esf",".esf"
"application/vnd.epson.msf",".msf"
"application/vnd.epson.quickanime",".qam"
"application/vnd.epson.salt",".slt"
"application/vnd.epson.ssf",".ssf"
"application/vnd.ericsson.quickcall",""
"application/vnd.espass-espass+zip",".espass"
"application/vnd.eszigno3+xml",".es3,.et3"
"application/vnd.etsi.aoc+xml",""
"application/vnd.etsi.asic-e+zip",".asice,.sce"
"application/vnd.etsi.asic-s+zip",".asics,.scs"
"application/vnd.etsi.cug+xml",""
"application/vnd.etsi.iptvcommand+xml",""
"application/vnd.etsi.iptvdiscovery+xml",""
"application/vnd.etsi.iptvprofile+xml",""
"application/vnd.etsi.iptvsad-bc+xml",""
"application/vnd.etsi.iptvsad-cod+xml",""
"application/vnd.etsi.iptvsad-npvr+xml",""
"application/vnd.etsi.iptvservice+xml",""
"application/vnd.etsi.iptvsync+xml",""
"application/vnd.etsi.iptvueprofile+xml",""
"application/vnd.etsi.mcid+xml",""
"application/vnd.etsi.mheg5",""
"application/vnd.etsi.overload-control-policy-dataset+xml",""
"application/vnd.etsi.pstn+xml",""
"application/vnd.etsi.sci+xml",""
"application/vnd.etsi.simservs+xml",""
"application/vnd.etsi.timestamp-token",""
"application/vnd.etsi.tsl+xml",""
"application/vnd.etsi.tsl.der",""
"application/vnd.eudora.data",""
"application/vnd.evolv.ecig.profile",""
"application/vnd.evolv.ecig.settings",""
"application/vnd.evolv.ecig.theme",""
"application/vnd.exstream-empower+zip",""
"application/vnd.exstream-package",""
"application/vnd.ezpix-album",".ez2"
"application/vnd.ezpix-package",".ez3"
"application/vnd.f-secure.mobile",""
"application/vnd.fastcopy-disk-image",""
"application/vnd.fdf",".fdf"
"application/vnd.fdsn.mseed",".mseed"
"application/vnd.fdsn.seed",".seed,.dataless"
"application/vnd.ffsns",""
"application/vnd.ficlab.flb+zip",".flb"
"application/vnd.filmit.zfc",""
"application/vnd.fints",""
"application/vnd.firemonkeys.cloudcell",""
"application/vnd.flographit",".gph"
"application/vnd.fluxtime.clip",".ftc"
"application/vnd.font-fontforge-sfd",""
"application/vnd.framemaker",".fm,.frame,.maker,.book"
"application/vnd.frogans.fnc",".fnc"
"application/vnd.frogans.ltf",".ltf"
"application/vnd.fsc.weblaunch",".fsc"
"application/vnd.fujifilm.fb.docuworks",""
"application/vnd.fujifilm.fb.docuworks.binder",""
"application/vnd.fujifilm.fb.docuworks.container",""
"application/vnd.fujifilm.fb.jfi+xml",".jfi"
"application/vnd.fujitsu.oasys",".oas"
"application/vnd.fujitsu.oasys2",".oa2"
"application/vnd.fujitsu.oasys3",".oa3"
"application/vnd.fujitsu.oasysgp",".fg5"
"application/vnd.fujitsu.oasysprs",".bh2"
"application/vnd.fujixerox.ART4",""
"application/vnd.fujixerox.ART-EX",""
"application/vnd.fujixerox.DDD",".ddd"
"application/vnd.fujixerox.docuworks",".xdw"
"application/vnd.fujixerox.docuworks.binder",".xbd"
"application/vnd.fujixerox.docuworks.container",""
"application/vnd.fujixerox.HBPL",""
"application/vnd.fut-misnet",""
"application/vnd.futoin+cbor",""
"application/vnd.futoin+json",""
"application/vnd.fuzzysheet",".fzs"
"application/vnd.genomatix.tuxedo",".txd"
"application/vnd.geo+json",".geojson"
"application/vnd.geocube+xml",""
"application/vnd.geogebra.file",".ggb"
"application/vnd.geogebra.slides",""
"application/vnd.geogebra.tool",".ggt"
"application/vnd.geometry-explorer",".gex,.gre"
"application/vnd.geonext",".gxt"
"application/vnd.geoplan",".g2w"
"application/vnd.geospace",".g3w"
"application/vnd.gerber",".gbr"
"application/vnd.globalplatform.card-content-mgt",""
"application/vnd.globalplatform.card-content-mgt-response",""
"application/vnd.gmx",".gmx"
"application/vnd.google-apps.document",""
"application/vnd.google-apps.presentation",""
"application/vnd.google-apps.spreadsheet",""
"application/vnd.google-earth.kml+xml",".kml"
"application/vnd.google-earth.kmz",".kmz"
"application/vnd.gov.sk.e-form+xml",""
"application/vnd.gov.sk.e-form+zip",""
"application/vnd.gov.sk.xmldatacontainer+xml",""
"application/vnd.grafeq",".gqf,.gqs"
"application/vnd.gridmp",""
"application/vnd.groove-account",".gac"
"application/vnd.groove-help",".ghf"
"application/vnd.groove-identity-message",".gim"
"application/vnd.groove-injector",".grv"
"application/vnd.groove-tool-message",".gtm"
"application/vnd.groove-tool-template",".tpl"
"application/vnd.groove-vcard",".vcg"
"application/vnd.hal+json",".hal.json"
"application/vnd.hal+xml",".hal.xml"
"application/vnd.handheld-entertainment",".zmm"
"application/vnd.hbci",".hbci"
